/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [1] | D_Loss: 1.4232 | G_Loss: 3.0481 | G_GAN: 7.8366 | L_Words: -0.9975 | L_Sent: 0.0002 | L_DAMSM: -0.9973 | L_KL: 0.0991 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [2] | D_Loss: 7.5741 | G_Loss: -1.0737 | G_GAN: 3.7149 | L_Words: -0.9980 | L_Sent: 0.0008 | L_DAMSM: -0.9972 | L_KL: 0.0986 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [3] | D_Loss: 2.3219 | G_Loss: -0.8237 | G_GAN: 3.9658 | L_Words: -0.9980 | L_Sent: 0.0005 | L_DAMSM: -0.9975 | L_KL: 0.0990 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [4] | D_Loss: 1.3874 | G_Loss: -2.0161 | G_GAN: 2.7559 | L_Words: -0.9948 | L_Sent: 0.0008 | L_DAMSM: -0.9940 | L_KL: 0.0990 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [5] | D_Loss: 1.3602 | G_Loss: -1.8044 | G_GAN: 2.9868 | L_Words: -0.9980 | L_Sent: 0.0002 | L_DAMSM: -0.9978 | L_KL: 0.0988 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [6] | D_Loss: 1.3431 | G_Loss: -1.2394 | G_GAN: 3.5492 | L_Words: -0.9983 | L_Sent: 0.0013 | L_DAMSM: -0.9970 | L_KL: 0.0981 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [7] | D_Loss: 1.4296 | G_Loss: -1.2825 | G_GAN: 3.4989 | L_Words: -0.9963 | L_Sent: 0.0008 | L_DAMSM: -0.9955 | L_KL: 0.0981 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [8] | D_Loss: 0.9854 | G_Loss: -0.9043 | G_GAN: 3.8718 | L_Words: -0.9958 | L_Sent: 0.0014 | L_DAMSM: -0.9943 | L_KL: 0.0978 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [9] | D_Loss: 0.8295 | G_Loss: 0.1888 | G_GAN: 4.9754 | L_Words: -0.9976 | L_Sent: 0.0012 | L_DAMSM: -0.9964 | L_KL: 0.0977 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [10] | D_Loss: 0.8991 | G_Loss: 1.1427 | G_GAN: 5.9341 | L_Words: -0.9976 | L_Sent: 0.0005 | L_DAMSM: -0.9971 | L_KL: 0.0970 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [11] | D_Loss: 0.8559 | G_Loss: 3.0650 | G_GAN: 7.8586 | L_Words: -0.9977 | L_Sent: 0.0004 | L_DAMSM: -0.9974 | L_KL: 0.0966 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [12] | D_Loss: 1.5775 | G_Loss: 5.3602 | G_GAN: 10.1475 | L_Words: -0.9975 | L_Sent: 0.0017 | L_DAMSM: -0.9958 | L_KL: 0.0957 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [13] | D_Loss: 1.4045 | G_Loss: 3.1851 | G_GAN: 7.9683 | L_Words: -0.9971 | L_Sent: 0.0022 | L_DAMSM: -0.9949 | L_KL: 0.0956 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [14] | D_Loss: 1.3847 | G_Loss: 5.4934 | G_GAN: 10.2764 | L_Words: -0.9952 | L_Sent: 0.0003 | L_DAMSM: -0.9949 | L_KL: 0.0957 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [15] | D_Loss: 0.7946 | G_Loss: 5.6326 | G_GAN: 10.4223 | L_Words: -0.9969 | L_Sent: 0.0007 | L_DAMSM: -0.9963 | L_KL: 0.0958 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [16] | D_Loss: 0.7585 | G_Loss: 2.8697 | G_GAN: 7.6658 | L_Words: -0.9979 | L_Sent: 0.0006 | L_DAMSM: -0.9973 | L_KL: 0.0953 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [17] | D_Loss: 1.0450 | G_Loss: 1.2974 | G_GAN: 6.0903 | L_Words: -0.9976 | L_Sent: 0.0011 | L_DAMSM: -0.9965 | L_KL: 0.0948 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [18] | D_Loss: 1.6788 | G_Loss: 10.4891 | G_GAN: 15.2822 | L_Words: -0.9979 | L_Sent: 0.0015 | L_DAMSM: -0.9965 | L_KL: 0.0946 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [19] | D_Loss: 1.1454 | G_Loss: 7.2207 | G_GAN: 12.0168 | L_Words: -0.9980 | L_Sent: 0.0013 | L_DAMSM: -0.9967 | L_KL: 0.0936 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [20] | D_Loss: 1.3139 | G_Loss: -0.4364 | G_GAN: 4.3625 | L_Words: -0.9983 | L_Sent: 0.0014 | L_DAMSM: -0.9969 | L_KL: 0.0927 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [21] | D_Loss: 1.9576 | G_Loss: 2.3659 | G_GAN: 7.1595 | L_Words: -0.9977 | L_Sent: 0.0020 | L_DAMSM: -0.9956 | L_KL: 0.0923 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [22] | D_Loss: 1.0119 | G_Loss: 2.1578 | G_GAN: 6.9468 | L_Words: -0.9967 | L_Sent: 0.0022 | L_DAMSM: -0.9945 | L_KL: 0.0917 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [23] | D_Loss: 0.7248 | G_Loss: 2.8990 | G_GAN: 7.6900 | L_Words: -0.9964 | L_Sent: 0.0017 | L_DAMSM: -0.9947 | L_KL: 0.0912 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [24] | D_Loss: 0.7267 | G_Loss: 2.7544 | G_GAN: 7.5476 | L_Words: -0.9972 | L_Sent: 0.0023 | L_DAMSM: -0.9949 | L_KL: 0.0905 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [25] | D_Loss: 0.7141 | G_Loss: 3.3533 | G_GAN: 8.1490 | L_Words: -0.9976 | L_Sent: 0.0026 | L_DAMSM: -0.9950 | L_KL: 0.0897 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [26] | D_Loss: 1.1403 | G_Loss: 4.9317 | G_GAN: 9.7297 | L_Words: -0.9971 | L_Sent: 0.0020 | L_DAMSM: -0.9951 | L_KL: 0.0888 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [27] | D_Loss: 0.6989 | G_Loss: 4.4323 | G_GAN: 9.2282 | L_Words: -0.9954 | L_Sent: 0.0009 | L_DAMSM: -0.9945 | L_KL: 0.0883 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [28] | D_Loss: 1.0803 | G_Loss: 7.3522 | G_GAN: 12.1501 | L_Words: -0.9984 | L_Sent: 0.0035 | L_DAMSM: -0.9949 | L_KL: 0.0882 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [29] | D_Loss: 0.5202 | G_Loss: 7.9354 | G_GAN: 12.7379 | L_Words: -0.9970 | L_Sent: 0.0015 | L_DAMSM: -0.9956 | L_KL: 0.0877 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [30] | D_Loss: 1.2221 | G_Loss: 2.4570 | G_GAN: 7.2508 | L_Words: -0.9965 | L_Sent: 0.0030 | L_DAMSM: -0.9936 | L_KL: 0.0870 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [31] | D_Loss: 1.8866 | G_Loss: 4.4677 | G_GAN: 9.2772 | L_Words: -0.9979 | L_Sent: 0.0013 | L_DAMSM: -0.9965 | L_KL: 0.0866 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
