/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [1] | D_Loss: 1.4232 | G_Loss: 3.0481 | G_GAN: 7.8366 | L_Words: -0.9975 | L_Sent: 0.0002 | L_DAMSM: -0.9973 | L_KL: 0.0991 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [2] | D_Loss: 7.5742 | G_Loss: -1.0659 | G_GAN: 3.7227 | L_Words: -0.9980 | L_Sent: 0.0008 | L_DAMSM: -0.9972 | L_KL: 0.0986 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [3] | D_Loss: 2.3247 | G_Loss: -0.8266 | G_GAN: 3.9651 | L_Words: -0.9980 | L_Sent: 0.0001 | L_DAMSM: -0.9979 | L_KL: 0.0989 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [4] | D_Loss: 1.4172 | G_Loss: -2.0505 | G_GAN: 2.7249 | L_Words: -0.9948 | L_Sent: 0.0003 | L_DAMSM: -0.9945 | L_KL: 0.0986 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [5] | D_Loss: 1.3930 | G_Loss: -1.7264 | G_GAN: 3.0645 | L_Words: -0.9980 | L_Sent: 0.0004 | L_DAMSM: -0.9976 | L_KL: 0.0985 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [6] | D_Loss: 1.3519 | G_Loss: -1.2263 | G_GAN: 3.5673 | L_Words: -0.9980 | L_Sent: 0.0001 | L_DAMSM: -0.9979 | L_KL: 0.0979 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [7] | D_Loss: 1.3894 | G_Loss: -1.4048 | G_GAN: 3.3804 | L_Words: -0.9962 | L_Sent: 0.0002 | L_DAMSM: -0.9961 | L_KL: 0.0976 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [8] | D_Loss: 1.0608 | G_Loss: -1.0480 | G_GAN: 3.7297 | L_Words: -0.9958 | L_Sent: 0.0014 | L_DAMSM: -0.9944 | L_KL: 0.0973 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [9] | D_Loss: 0.9312 | G_Loss: -0.1128 | G_GAN: 4.6741 | L_Words: -0.9974 | L_Sent: 0.0009 | L_DAMSM: -0.9965 | L_KL: 0.0978 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [10] | D_Loss: 0.8910 | G_Loss: 0.4427 | G_GAN: 5.2285 | L_Words: -0.9971 | L_Sent: 0.0005 | L_DAMSM: -0.9966 | L_KL: 0.0985 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [11] | D_Loss: 0.8244 | G_Loss: 1.4681 | G_GAN: 6.2526 | L_Words: -0.9975 | L_Sent: 0.0010 | L_DAMSM: -0.9965 | L_KL: 0.0991 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
