/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=attenx_sa, attention_mode=single, spectral_norm=on, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [1] | D_Loss: 1.3759 | G_Loss: 3.2616 | G_GAN: 8.0489 | L_Words: -0.9979 | L_Sent: 0.0008 | L_DAMSM: -0.9971 | L_KL: 0.0990 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [2] | D_Loss: 5.4878 | G_Loss: 10.6217 | G_GAN: 15.4074 | L_Words: -0.9974 | L_Sent: 0.0006 | L_DAMSM: -0.9968 | L_KL: 0.0992 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [3] | D_Loss: 5.3837 | G_Loss: -0.7655 | G_GAN: 4.0254 | L_Words: -0.9976 | L_Sent: 0.0001 | L_DAMSM: -0.9975 | L_KL: 0.0982 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [4] | D_Loss: 1.4243 | G_Loss: -2.2158 | G_GAN: 2.5740 | L_Words: -0.9975 | L_Sent: 0.0001 | L_DAMSM: -0.9974 | L_KL: 0.0986 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [5] | D_Loss: 1.5108 | G_Loss: -1.1753 | G_GAN: 3.6151 | L_Words: -0.9985 | L_Sent: 0.0010 | L_DAMSM: -0.9975 | L_KL: 0.0986 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [6] | D_Loss: 1.1621 | G_Loss: -0.9697 | G_GAN: 3.8177 | L_Words: -0.9977 | L_Sent: 0.0009 | L_DAMSM: -0.9968 | L_KL: 0.0984 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [7] | D_Loss: 1.3254 | G_Loss: -1.3954 | G_GAN: 3.3884 | L_Words: -0.9969 | L_Sent: 0.0010 | L_DAMSM: -0.9959 | L_KL: 0.0979 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [8] | D_Loss: 1.1519 | G_Loss: -1.5032 | G_GAN: 3.2812 | L_Words: -0.9977 | L_Sent: 0.0016 | L_DAMSM: -0.9961 | L_KL: 0.0981 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [9] | D_Loss: 1.3833 | G_Loss: -0.9904 | G_GAN: 3.7996 | L_Words: -0.9974 | L_Sent: 0.0004 | L_DAMSM: -0.9969 | L_KL: 0.0974 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [10] | D_Loss: 1.3069 | G_Loss: 0.2559 | G_GAN: 5.0429 | L_Words: -0.9977 | L_Sent: 0.0012 | L_DAMSM: -0.9965 | L_KL: 0.0977 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [11] | D_Loss: 1.3492 | G_Loss: -0.4561 | G_GAN: 4.3330 | L_Words: -0.9983 | L_Sent: 0.0016 | L_DAMSM: -0.9967 | L_KL: 0.0972 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
