/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=baseline, attention_mode=none, spectral_norm=off, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [1] | D_Loss: 1.3891 | G_Loss: -2.2907 | G_GAN: 2.4944 | L_Words: -0.9974 | L_Sent: 0.0008 | L_DAMSM: -0.9966 | L_KL: 0.0990 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [2] | D_Loss: 1.2341 | G_Loss: 5.5376 | G_GAN: 10.3224 | L_Words: -0.9973 | L_Sent: 0.0010 | L_DAMSM: -0.9963 | L_KL: 0.0982 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [3] | D_Loss: 3.5929 | G_Loss: 1.2916 | G_GAN: 6.0786 | L_Words: -0.9973 | L_Sent: 0.0009 | L_DAMSM: -0.9964 | L_KL: 0.0976 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [4] | D_Loss: 2.6811 | G_Loss: -2.4958 | G_GAN: 2.2924 | L_Words: -0.9986 | L_Sent: 0.0022 | L_DAMSM: -0.9964 | L_KL: 0.0969 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [5] | D_Loss: 2.2456 | G_Loss: -1.7689 | G_GAN: 3.0235 | L_Words: -0.9980 | L_Sent: 0.0010 | L_DAMSM: -0.9970 | L_KL: 0.0963 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [6] | D_Loss: 1.2557 | G_Loss: 2.0144 | G_GAN: 6.8084 | L_Words: -0.9975 | L_Sent: 0.0004 | L_DAMSM: -0.9971 | L_KL: 0.0957 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [7] | D_Loss: 1.2744 | G_Loss: -0.8553 | G_GAN: 3.9317 | L_Words: -0.9977 | L_Sent: 0.0020 | L_DAMSM: -0.9957 | L_KL: 0.0957 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [8] | D_Loss: 1.4037 | G_Loss: -0.5843 | G_GAN: 4.2117 | L_Words: -0.9982 | L_Sent: 0.0009 | L_DAMSM: -0.9974 | L_KL: 0.0954 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [9] | D_Loss: 1.0828 | G_Loss: 2.8564 | G_GAN: 7.6432 | L_Words: -0.9965 | L_Sent: 0.0012 | L_DAMSM: -0.9953 | L_KL: 0.0949 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [10] | D_Loss: 0.7762 | G_Loss: 2.4236 | G_GAN: 7.2144 | L_Words: -0.9972 | L_Sent: 0.0014 | L_DAMSM: -0.9958 | L_KL: 0.0941 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [11] | D_Loss: 1.3724 | G_Loss: 2.6931 | G_GAN: 7.4849 | L_Words: -0.9968 | L_Sent: 0.0006 | L_DAMSM: -0.9962 | L_KL: 0.0946 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
