nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Resumed from checkpoint epoch 3
Resumed best_val_loss: 4.3094
Step [1105] | D_Loss: 0.9878 | G_Loss: 4.7289 | G_GAN: 4.7065 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1106] | D_Loss: 1.0634 | G_Loss: 3.2444 | G_GAN: 3.2229 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1107] | D_Loss: 1.7733 | G_Loss: 5.1117 | G_GAN: 5.0893 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1108] | D_Loss: 1.7627 | G_Loss: 8.7597 | G_GAN: 8.7389 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0104 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1109] | D_Loss: 1.2747 | G_Loss: 6.2983 | G_GAN: 6.2760 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1110] | D_Loss: 0.8369 | G_Loss: 4.5283 | G_GAN: 4.5073 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0105 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1111] | D_Loss: 0.6752 | G_Loss: 8.4112 | G_GAN: 8.3887 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1112] | D_Loss: 0.5834 | G_Loss: 6.4768 | G_GAN: 6.4552 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1113] | D_Loss: 0.7824 | G_Loss: 6.8677 | G_GAN: 6.8466 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0106 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1114] | D_Loss: 0.6188 | G_Loss: 7.1265 | G_GAN: 7.1047 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0109 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1115] | D_Loss: 0.8972 | G_Loss: 5.2852 | G_GAN: 5.2642 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0105 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1116] | D_Loss: 0.6099 | G_Loss: 6.4402 | G_GAN: 6.4186 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1117] | D_Loss: 0.8329 | G_Loss: 7.1768 | G_GAN: 7.1530 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0119 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1118] | D_Loss: 0.6358 | G_Loss: 8.8609 | G_GAN: 8.8411 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0099 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1119] | D_Loss: 0.5686 | G_Loss: 8.7265 | G_GAN: 8.7062 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0101 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1120] | D_Loss: 0.2734 | G_Loss: 10.6907 | G_GAN: 10.6689 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0109 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1121] | D_Loss: 0.6643 | G_Loss: 6.3579 | G_GAN: 6.3378 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0100 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1122] | D_Loss: 0.6193 | G_Loss: 5.8789 | G_GAN: 5.8554 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0118 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1123] | D_Loss: 0.5190 | G_Loss: 8.0431 | G_GAN: 8.0210 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0110 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1124] | D_Loss: 0.6977 | G_Loss: 12.1747 | G_GAN: 12.1540 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0104 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1125] | D_Loss: 1.3052 | G_Loss: 5.5302 | G_GAN: 5.5076 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0113 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1126] | D_Loss: 0.7506 | G_Loss: 10.5773 | G_GAN: 10.5576 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0099 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1127] | D_Loss: 0.6183 | G_Loss: 7.8642 | G_GAN: 7.8422 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0110 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1128] | D_Loss: 0.4318 | G_Loss: 6.0673 | G_GAN: 6.0438 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0117 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1129] | D_Loss: 0.7972 | G_Loss: 5.9341 | G_GAN: 5.9112 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0114 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1130] | D_Loss: 0.5778 | G_Loss: 8.4245 | G_GAN: 8.4020 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1131] | D_Loss: 0.5049 | G_Loss: 8.4665 | G_GAN: 8.4465 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0100 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1132] | D_Loss: 0.5235 | G_Loss: 6.6309 | G_GAN: 6.6102 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0104 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1133] | D_Loss: 0.8665 | G_Loss: 6.0435 | G_GAN: 6.0206 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0114 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1134] | D_Loss: 1.0058 | G_Loss: 9.1906 | G_GAN: 9.1676 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1135] | D_Loss: 0.6181 | G_Loss: 9.4093 | G_GAN: 9.3872 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1136] | D_Loss: 1.3562 | G_Loss: 3.5449 | G_GAN: 3.5206 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0121 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1137] | D_Loss: 1.8604 | G_Loss: 9.2307 | G_GAN: 9.2102 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0102 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1138] | D_Loss: 0.8178 | G_Loss: 9.3468 | G_GAN: 9.3240 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0114 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1139] | D_Loss: 0.5729 | G_Loss: 8.3728 | G_GAN: 8.3506 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1140] | D_Loss: 1.0263 | G_Loss: 5.2940 | G_GAN: 5.2718 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1141] | D_Loss: 0.8556 | G_Loss: 7.5032 | G_GAN: 7.4827 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0103 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1142] | D_Loss: 1.0599 | G_Loss: 6.7819 | G_GAN: 6.7617 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0101 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1143] | D_Loss: 0.6226 | G_Loss: 9.5575 | G_GAN: 9.5369 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0103 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1144] | D_Loss: 0.3759 | G_Loss: 8.5642 | G_GAN: 8.5411 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1145] | D_Loss: 0.6627 | G_Loss: 4.6087 | G_GAN: 4.5858 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1146] | D_Loss: 0.5990 | G_Loss: 10.2623 | G_GAN: 10.2401 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1147] | D_Loss: 0.4787 | G_Loss: 9.7902 | G_GAN: 9.7671 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1148] | D_Loss: 0.7817 | G_Loss: 5.9747 | G_GAN: 5.9525 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1149] | D_Loss: 1.0396 | G_Loss: 10.4315 | G_GAN: 10.4080 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0117 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1150] | D_Loss: 1.0696 | G_Loss: 7.3193 | G_GAN: 7.2977 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1151] | D_Loss: 0.9563 | G_Loss: 3.7399 | G_GAN: 3.7172 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0114 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1152] | D_Loss: 0.9465 | G_Loss: 8.4051 | G_GAN: 8.3815 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0118 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1153] | D_Loss: 0.5276 | G_Loss: 8.5983 | G_GAN: 8.5751 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0116 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1154] | D_Loss: 0.5061 | G_Loss: 7.0397 | G_GAN: 7.0178 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0109 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1155] | D_Loss: 0.7016 | G_Loss: 4.5454 | G_GAN: 4.5211 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0121 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1156] | D_Loss: 0.6113 | G_Loss: 6.7726 | G_GAN: 6.7501 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1157] | D_Loss: 0.7904 | G_Loss: 6.8765 | G_GAN: 6.8533 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0116 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1158] | D_Loss: 0.7522 | G_Loss: 7.3523 | G_GAN: 7.3307 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1159] | D_Loss: 0.7907 | G_Loss: 9.0836 | G_GAN: 9.0616 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0110 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1160] | D_Loss: 0.9833 | G_Loss: 6.0180 | G_GAN: 5.9973 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0103 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1161] | D_Loss: 0.6753 | G_Loss: 6.7887 | G_GAN: 6.7663 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1162] | D_Loss: 0.6492 | G_Loss: 6.6060 | G_GAN: 6.5854 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0103 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1163] | D_Loss: 0.8228 | G_Loss: 3.5765 | G_GAN: 3.5561 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0102 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1164] | D_Loss: 0.9742 | G_Loss: 11.1243 | G_GAN: 11.1027 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1165] | D_Loss: 0.4283 | G_Loss: 10.8565 | G_GAN: 10.8354 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0105 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1166] | D_Loss: 0.8656 | G_Loss: 5.5723 | G_GAN: 5.5508 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0107 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1167] | D_Loss: 0.7764 | G_Loss: 10.5294 | G_GAN: 10.5071 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1168] | D_Loss: 0.4010 | G_Loss: 11.1205 | G_GAN: 11.0980 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0113 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1169] | D_Loss: 0.9646 | G_Loss: 4.1590 | G_GAN: 4.1371 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0109 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
