nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=attenx_sa, attention_mode=single, spectral_norm=on, mhsa_heads=4
Resumed from checkpoint epoch 3
Resumed best_val_loss: 3.0666
Step [1105] | D_Loss: 0.8704 | G_Loss: 3.5987 | G_GAN: 3.5716 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0135 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1106] | D_Loss: 0.8634 | G_Loss: 6.9916 | G_GAN: 6.9665 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0126 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1107] | D_Loss: 0.4885 | G_Loss: 10.4135 | G_GAN: 10.3858 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0139 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1108] | D_Loss: 0.4311 | G_Loss: 9.6491 | G_GAN: 9.6233 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0129 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1109] | D_Loss: 0.3669 | G_Loss: 8.0703 | G_GAN: 8.0446 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0128 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1110] | D_Loss: 1.1154 | G_Loss: 12.4854 | G_GAN: 12.4603 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0126 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1111] | D_Loss: 1.2327 | G_Loss: 9.3776 | G_GAN: 9.3522 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1112] | D_Loss: 0.4452 | G_Loss: 5.2704 | G_GAN: 5.2454 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0125 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1113] | D_Loss: 0.7563 | G_Loss: 7.1494 | G_GAN: 7.1240 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1114] | D_Loss: 0.5237 | G_Loss: 9.9833 | G_GAN: 9.9582 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0125 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1115] | D_Loss: 0.7844 | G_Loss: 6.9974 | G_GAN: 6.9726 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0124 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1116] | D_Loss: 0.8015 | G_Loss: 4.1943 | G_GAN: 4.1694 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0125 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1117] | D_Loss: 0.9084 | G_Loss: 11.0089 | G_GAN: 10.9840 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0124 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1118] | D_Loss: 0.6343 | G_Loss: 7.9851 | G_GAN: 7.9619 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0116 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1119] | D_Loss: 0.5249 | G_Loss: 8.0698 | G_GAN: 8.0427 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0135 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1120] | D_Loss: 0.8745 | G_Loss: 6.9334 | G_GAN: 6.9068 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1121] | D_Loss: 0.7355 | G_Loss: 5.4402 | G_GAN: 5.4157 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0123 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1122] | D_Loss: 0.4703 | G_Loss: 8.5098 | G_GAN: 8.4856 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0121 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1123] | D_Loss: 0.8642 | G_Loss: 7.4477 | G_GAN: 7.4216 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0131 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1124] | D_Loss: 0.3838 | G_Loss: 9.2421 | G_GAN: 9.2162 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0129 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1125] | D_Loss: 0.6752 | G_Loss: 8.1807 | G_GAN: 8.1552 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0128 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1126] | D_Loss: 0.6714 | G_Loss: 8.3961 | G_GAN: 8.3712 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0124 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1127] | D_Loss: 0.5268 | G_Loss: 5.6735 | G_GAN: 5.6469 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1128] | D_Loss: 0.7959 | G_Loss: 10.1766 | G_GAN: 10.1508 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0129 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1129] | D_Loss: 0.8118 | G_Loss: 7.1603 | G_GAN: 7.1339 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1130] | D_Loss: 0.6653 | G_Loss: 8.1735 | G_GAN: 8.1470 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1131] | D_Loss: 0.3350 | G_Loss: 9.2895 | G_GAN: 9.2641 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1132] | D_Loss: 0.5057 | G_Loss: 11.0987 | G_GAN: 11.0733 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
